\lbrack	[	0x5b
\smwhtcircle	◦	0x25e6
\squareleftblack	◧	0x25e7
\squarerightblack	◨	0x25e8
\squareulblack	◩	0x25e9
\squarelrblack	◪	0x25ea
\boxbar	◫	0x25eb
\trianglecdot	◬	0x25ec
\triangleleftblack	◭	0x25ed
\trianglerightblack	◮	0x25ee
\lgwhtcircle	◯	0x25ef
\squareulquad	◰	0x25f0
\squarellquad	◱	0x25f1
\squarelrquad	◲	0x25f2
\squareurquad	◳	0x25f3
\circleulquad	◴	0x25f4
\circlellquad	◵	0x25f5
\circlelrquad	◶	0x25f6
\circleurquad	◷	0x25f7
\ultriangle	◸	0x25f8
\urtriangle	◹	0x25f9
\lltriangle	◺	0x25fa
\square	⬜	0x2b1c
\blacksquare	⬛	0x2b1b
\mdsmwhtsquare	◽	0x25fd
\mdsmblksquare	◾	0x25fe
\lrtriangle	◿	0x25ff
\bigstar	★	0x2605
\bigwhitestar	☆	0x2606
\Sun	☉	0x2609
\Square	☐	0x2610
\CheckedBox	☑	0x2611
\XBox	☒	0x2612
\steaming	☕	0x2615
\pointright	☞	0x261e
\skull	☠	0x2620
\danger	☡	0x2621
\radiation	☢	0x2622
\biohazard	☣	0x2623
\yinyang	☯	0x262f
\frownie	☹	0x2639
\smiley	☺	0x263a
\blacksmiley	☻	0x263b
\sun	☼	0x263c
\rightmoon	☽	0x263d
\leftmoon	☾	0x263e
\mercury	☿	0x263f
\female	♀	0x2640
\earth	♁	0x2641
\male	♂	0x2642
\jupiter	♃	0x2643
\saturn	♄	0x2644
\uranus	♅	0x2645
\neptune	♆	0x2646
\pluto	♇	0x2647
\aries	♈	0x2648
\taurus	♉	0x2649
\gemini	♊	0x264a
\cancer	♋	0x264b
\leo	♌	0x264c
\virgo	♍	0x264d
\libra	♎	0x264e
\scorpio	♏	0x264f
\sagittarius	♐	0x2650
\capricornus	♑	0x2651
\aquarius	♒	0x2652
\pisces	♓	0x2653
\spadesuit	♠	0x2660
